"",""
"ID","Id"
"NAME","Name"
"Active","Active"
"Details","Details"
"Detail page","Detail page"
"Delete","Delete"
"Modify","Modify"
"Activate/Deactivate","Activate/Deactivate"
"Deactivate","Deactivate"
"Activate","Activate"
"Productlist","Productlist"
"All","All"
"Inactive","Inactive"
"All strings are translated","All strings are translated!"
"Category list","Category list"
"Filter","Filter"
"Product","Product"
"Products","Products"
"Load","Load"
"Product name","Product name"
"Category","Category"
"Product info","Product info"
"Product image","Product image"
"Save","Save"
"Categories","Categories"
"Category name","Category name"
"Category add","Category add"
"List","List"
"Add new","Add new"
"Image","Image"
"Product detail","Product detail"
"Language","Language"
"hu","Hungarian"
"en","English"
"Successfully added","Successfully added"
"Unable to add","Unable to add"
"Successful modification","Successful modification"
"Failed to modify","Failed to modify"
"This product can not be deleted","This product can not be deleted"
"No registered category","No registered category
"Modify product","Modify product"
